Code,no_car_in_household,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,population_cannot_speak_english,Limiting_long-term_illness_disability,hospital_admission_associated_with_alcohol,regular_smoking_at15,non_white_ethnic_group,net weekly income,education_no qualifications,general health age 50-64,work_49hr_more,samhi_index.2011
E02000080,862,Bexley 016,38.6,14.48911223,65.39045,11.3,7.4,19.9,213.98970093457945,4,0,1.6,15.7,75.0,5.2,18.5,855,24.1,4.1251325556733835,517,-1.6658130326163398
E02000081,731,Bexley 017,37.2,15.07592191,64.686995,13.7,4.7,64.4,178.0191818181818,0,0,0.6,18.6,96.6,4.9,10.4,845,25.5,4.969275981832755,416,-1.1512316538525948
E02000082,490,Bexley 018,21.9,12.5,67.96003,6.0,4.2,13.8,428.5482083333334,0,1,0.9,13.7,73.2,6.3,12.6,950,21.2,4.033348355114916,551,-1.7480833959095523
E02000083,923,Bexley 019,41.7,19.08339594,65.350695,17.3,6.6,82,410.4125331010453,1,1,0.8,16.3,100.8,4.1,12.1,800,24.0,5.353846153846154,530,-1.3860901649484532
E02000084,649,Bexley 020,29.6,13.46749226,68.031635,7.8,4.2,23.4,560.7234291497975,0,0,0.7,14.6,69.5,6.3,12.9,965,19.8,3.986835919134932,769,-1.5164957905110834
E02000085,506,Bexley 021,27.3,13.41911765,68.80079,9.1,5.0,41.9,269.67321794871793,1,0,0.7,13.9,87.3,6,10.0,895,23.8,3.990877993158495,460,-1.882818010048945
E02000086,350,Bexley 022,25.6,12.47401247,69.719755,5.5,4.1,31.2,345.0229300699301,0,0,0.4,12.7,79.0,6.8,7.4,1010,19.4,3.0725112658746414,517,-1.9100169798122189
E02000087,448,Bexley 023,35.2,16.95906433,70.767625,7.0,3.6,30.2,576.700936746988,0,0,0.4,15.8,68.5,6.6,10.3,1030,18.0,3.7703399920624423,584,-2.1856669485093434
E02000088,396,Bexley 024,27.5,15.28795812,69.69944,6.2,3.6,25.3,600.5121133333333,0,0,0.4,14.6,71.8,6.3,8.2,980,20.4,3.9033217009176684,475,-1.8986089528191905
E02000089,410,Bexley 025,26.5,13.26530612,68.23423,7.3,2.5,31.2,299.61866129032256,0,0,0.2,16.2,69.1,6.8,7.6,975,20.8,3.903077930582842,454,-1.4261051639805593
