Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,child_poverty,overcrowded_houses,limiting_long-term_illness_disability,self_harm_hospital_admission,hospital_admission_associated_with_alcohol,samhi_index.2011,population_cannot_speak_english
E02000829,Southwark 023,20.4,43.9,590,16.18969747,29.2,33.0,17.5,47.1,118.2,-1.203650383506184,4.1
E02000830,Southwark 024,11.6,44.1,906,18.09421842,14.5,23.1,12.6,30.6,78.7,-1.68308923774046,2.0
E02000831,Southwark 025,14.3,42.5,810,13.62445415,19.7,24.7,14.2,41.5,93.8,-1.206590651471953,2.5
E02000832,Southwark 026,21.7,46.8,497,20.1509434,26.9,26.9,17.6,34.3,104.8,-1.271402221180346,2.9
E02000833,Southwark 027,14.6,39.1,480,16.54545455,20.2,24.6,11.5,45.7,82.5,-1.907634421314905,3.0
E02000834,Southwark 028,11.3,39.6,1030,11.75869121,12.7,20.0,12.2,37.9,74.8,-1.528150785226448,1.2
E02000835,Southwark 029,16.6,46.6,516,13.31417625,17.6,18.6,13.7,30.2,78.3,-1.386466693400613,2.0
E02000836,Southwark 030,11.5,33.9,955,13.61003861,10.0,12.4,11.8,30.7,70.0,-1.335207242139248,1.2
E02000837,Southwark 031,8.1,32.5,1209,20.7852194,5.2,8.6,9.3,39,57.8,-2.153987394968612,0.8
E02000838,Southwark 032,13.9,42.3,852,14.1285956,11.3,15.1,13.0,40.6,84.7,-1.536497437842887,1.4
E02000839,Southwark 033,12.7,47.9,705,16.27246925,17.9,15.5,14.1,23.1,75.9,-1.814198257058018,1.6
E02000840,Sutton 001,28.1,47.9,370,15.48242334,25.3,17.6,16.9,96.9,120.4,-0.5772447059656926,1.7
E02000841,Sutton 002,27.5,48.0,400,16.90245719,24.2,17.5,16.3,79.7,106.6,-0.5653615766396438,2.4
E02000842,Sutton 003,21.6,34.7,451,15.83756345,7.9,6.4,14.4,85.3,89.1,-0.6434002736161752,1.5
E02000843,Sutton 004,18.5,42.1,508,14.02142162,14.9,13.2,11.7,85.4,95.1,-0.8980998446933488,1.2
E02000844,Sutton 005,23.4,35.8,419,15.44571933,16.3,9.6,15.4,97.1,109.3,-0.5260879855092955,1.2
E02000845,Sutton 006,15.9,34.2,630,11.34421134,10.0,9.7,11.3,53.9,83.3,-1.791264690667438,2.1
E02000846,Sutton 007,20.5,36.5,397,13.4595163,9.5,6.6,15.7,55.9,79.6,-0.9062311580471788,1.3
E02000847,Sutton 008,19.2,32.4,576,13.43984962,7.5,5.8,14.6,52.3,76.4,-1.592206818030065,1.3
E02000848,Sutton 009,18.8,25.1,472,16.57559199,6.4,5.7,11.7,70.8,91.1,-1.515726218360666,1.0
E02000849,Sutton 010,17.4,42.5,444,14.84759095,10.3,9.5,14.4,92,89.4,-0.902432456762274,1.0
E02000850,Sutton 011,19.8,31.0,604,14.80169972,9.9,7.0,13.6,58.9,85.6,-1.16273335477672,1.0
E02000851,Sutton 012,21.5,53.3,515,11.79941003,20.0,21.1,17.3,100.5,117.2,-0.7936938890413805,2.6
E02000852,Sutton 013,17.0,34.0,523,11.37055838,8.4,9.0,11.7,63.6,99.7,-1.13064143449217,1.0
E02000853,Sutton 014,17.7,37.5,509,11.88299817,12.8,8.9,12.7,68.3,83.9,-1.174733837772045,1.8
E02000854,Sutton 015,15.1,39.2,556,14.2384106,10.5,7.9,13.4,72.2,85.9,-1.021274471336528,0.6
E02000855,Sutton 016,13.6,29.5,567,13.94891945,5.9,6.2,12.6,63.6,74.6,-1.322809506348451,1.2
