Code,Msoa_name,education_no qualifications,lone_parent_unemployed,work_49hr_more,families_with_3plus_kids,limiting_long-term_illness_disability,samhi_index.2011,population_cannot_speak_english
E02000508,Hillingdon 015,12.4,35.6,523,11.95372751,12.2,-0.89497637818977,2.2
E02000509,Hillingdon 016,11.7,48.2,443,14.66030989,10.9,-0.8833572064882622,2.6
E02000510,Hillingdon 017,18.7,40.6,514,16.58856607,15.1,-1.244058416662112,2.0
E02000511,Hillingdon 018,20.8,42.2,422,17.73818745,14.5,-1.128199578829228,3.2
E02000512,Hillingdon 019,24.3,48.6,379,18.70503597,16.4,-0.927223995886957,2.9
E02000513,Hillingdon 020,24.3,55.6,359,20.82191781,13.4,-1.097329105568389,5.3
E02000514,Hillingdon 021,21.1,49.8,393,22.10909091,14.7,-1.490707194305209,7.3
E02000515,Hillingdon 022,20.8,45.6,591,14.68584406,14.4,-0.7868031122608601,2.7
E02000516,Hillingdon 023,17.7,45.3,365,18.38810642,12.7,-1.233448246953971,6.0
E02000517,Hillingdon 024,25.9,48.4,332,21.73584906,16.1,-0.8321618909884595,5.8
E02000518,Hillingdon 025,26.9,50.7,383,19.9663016,16.9,-0.800655958860794,2.4
E02000519,Hillingdon 026,25.4,58.0,358,23.75102375,16.6,-1.319815819736317,6.5
E02000520,Hillingdon 027,23.4,53.7,487,21.76913425,14.4,-1.626182734771237,6.9
E02000521,Hillingdon 028,24.6,49.6,488,22.36929186,14.4,-1.071694857056564,3.9
E02000522,Hillingdon 029,22.8,50.4,480,18.00643087,15.3,-0.7710387899390893,3.0
E02000523,Hillingdon 030,19.7,48.1,367,22.64833575,12.9,-1.769106857735813,7.2
E02000524,Hillingdon 031,21.6,52.5,505,16.18037135,13.7,0.0605608350210017,3.7
E02000525,Hillingdon 032,20.2,50.1,384,17.5257732,12.6,-1.659571414645779,6.2
E02000526,Hounslow 001,7.6,41.3,1264,16.96035242,9.4,-1.782282171075436,1.4
E02000528,Hounslow 003,19.8,53.2,769,16.11940299,15.9,-1.30994625244188,4.1
