Code,Msoa_name,lone_parent_unemployed,families_with_3plus_kids,population_cannot_speak_english,Limiting_long-term_illness_disability,education_no qualifications,work_49hr_more
E02000214,Croydon 021,30.7,15.72164948,1.5,14.3,15.1,407
E02000215,Croydon 022,52.9,10.56845476,3.3,14.9,15.0,690
E02000216,Croydon 023,44.3,10.83437111,2.3,15.9,11.9,501
E02000217,Croydon 024,51.5,13.17280453,3.0,12.9,16.4,565
E02000218,Croydon 025,48.9,20.77067669,2.3,14.1,19.5,257
E02000219,Croydon 026,29.6,14.47212337,1.1,16.5,16.7,555
E02000220,Croydon 027,37.8,8.21799308,3.1,14.6,13.3,703
E02000221,Croydon 028,48.3,18.21835231,3.1,16.4,21.2,469
E02000222,Croydon 029,40.1,11.21593291,1.5,12.7,12.1,597
E02000223,Croydon 030,53.3,24.98418722,1.6,16.5,33.4,226
E02000224,Croydon 031,45.8,12.01550388,1.5,12.0,12.2,589
E02000225,Croydon 032,50.0,24.83598875,0.9,17.6,33.3,305
E02000226,Croydon 033,29.8,10.79545455,0.9,14.1,14.1,552
E02000227,Croydon 034,35.6,14.15157612,0.8,14.7,18.5,677
E02000228,Croydon 035,35.4,15.48022599,0.8,14.0,11.2,655
E02000229,Croydon 036,52.2,22.4852071,1.3,20.4,37.7,211
E02000230,Croydon 037,41.3,14.42542787,1.3,15.4,13.0,744
E02000231,Croydon 038,38.1,16.20171674,1.2,14.7,12.7,756
E02000232,Croydon 039,37.5,14.98079385,0.8,16.0,20.0,389
E02000233,Croydon 040,40.6,14.61988304,1.0,14.5,15.8,396
E02000234,Croydon 041,35.9,15.47729379,0.9,14.1,15.5,556
E02000235,Croydon 042,40.7,13.63163371,0.5,12.8,14.2,560
E02000236,Croydon 043,31.4,16.22678397,0.4,12.2,15.1,545
E02000237,Croydon 044,35.4,13.10043668,0.5,17.8,20.5,455
E02000238,Ealing 001,45.3,17.65612953,8.4,13.0,18.9,525
E02000239,Ealing 002,33.1,18.44380403,8.6,12.3,14.7,507
E02000240,Ealing 003,52.7,19.1886671,5.9,15.3,23.4,454
E02000241,Ealing 004,43.3,15.38461538,6.6,12.0,17.6,325
E02000242,Ealing 005,45.6,20.14218009,10.1,13.5,17.8,358
E02000243,Ealing 006,42.1,15.625,8.2,15.0,18.6,451
E02000244,Ealing 007,41.0,17.62785637,8.7,12.6,16.1,510
E02000245,Ealing 008,61.1,19.15384615,6.4,16.7,25.4,317
E02000246,Ealing 009,48.9,25.0,5.8,15.6,25.9,333
E02000247,Ealing 010,54.9,18.80286272,6.6,15.7,22.0,479
E02000248,Ealing 011,55.5,15.88785047,8.5,12.3,11.2,571
E02000249,Ealing 012,44.9,19.83556012,8.3,15.3,20.8,393
E02000250,Ealing 013,24.8,13.64705882,2.2,11.8,6.9,650
E02000251,Ealing 014,48.8,20.92793682,8.8,13.9,18.4,339
E02000252,Ealing 015,53.6,18.51520572,6.5,13.7,16.3,627
E02000253,Ealing 016,47.9,18.57651246,7.1,18.9,23.3,451
E02000254,Ealing 017,49.6,20.856102,10.3,15.6,20.5,341
E02000255,Ealing 018,50.8,19.31364725,4.5,13.3,12.5,702
E02000256,Ealing 019,40.0,14.46808511,3.6,11.8,7.3,957
E02000257,Ealing 020,45.2,15.1372549,5.4,11.7,7.6,1463
E02000258,Ealing 021,52.1,19.13580247,7.9,12.1,13.0,526
E02000259,Ealing 022,39.4,16.05504587,5.2,11.7,13.0,463
E02000260,Ealing 023,52.4,21.65354331,13.0,17.6,21.7,320
E02000261,Ealing 024,53.6,25.51781276,6.5,13.6,14.8,779
E02000262,Ealing 025,42.0,18.75616979,6.1,14.6,14.8,720
E02000263,Ealing 026,55.6,23.07157748,16.0,17.3,24.1,346
E02000264,Ealing 027,49.6,18.99371069,5.0,12.1,8.9,859
E02000265,Ealing 028,50.0,15.41984733,4.9,14.1,14.7,843
E02000266,Ealing 029,55.0,27.32240437,9.0,19.4,24.0,399
E02000267,Ealing 030,35.5,12.21621622,5.4,12.3,13.7,515
E02000268,Ealing 031,48.6,14.88095238,3.7,13.3,12.9,940
E02000269,Ealing 032,36.0,15.11017838,3.0,10.6,8.0,834
E02000270,Ealing 033,57.8,24.66793169,7.9,16.2,19.7,441
E02000271,Ealing 034,41.0,12.85189718,2.0,9.0,7.8,965
E02000272,Ealing 035,33.0,13.52657005,2.8,12.2,11.3,561
E02000274,Ealing 037,60.5,24.96924969,14.9,15.3,23.2,458
E02000275,Ealing 038,60.5,19.11057692,12.9,18.9,22.8,287
E02000276,Ealing 039,36.2,11.54345006,2.8,10.0,9.0,617
E02000277,Enfield 001,58.1,17.02755906,5.0,15.7,27.7,319
E02000278,Enfield 002,62.0,23.27402135,6.6,17.9,32.4,282
E02000279,Enfield 003,61.0,21.11702128,6.2,13.7,24.8,519
E02000280,Enfield 004,50.8,15.32599492,2.2,15.9,21.5,520
E02000281,Enfield 005,58.7,14.6539028,3.9,15.9,23.3,439
E02000282,Enfield 006,63.9,20.8281054,8.7,16.1,32.4,296
E02000283,Enfield 007,56.5,25.75406032,5.5,14.9,28.3,325
E02000284,Enfield 008,46.4,12.37209302,1.5,15.0,18.1,540
E02000285,Enfield 009,38.6,15.14124294,1.7,14.1,17.9,402
E02000286,Enfield 010,35.7,9.7799511,1.3,16.5,17.4,645
E02000287,Enfield 011,45.7,15.72739187,2.4,15.4,17.8,614
E02000288,Enfield 012,57.5,22.21514959,7.6,16.0,27.7,390
E02000289,Enfield 013,37.1,14.4057623,1.7,15.2,17.8,408
E02000290,Enfield 014,57.0,17.11851278,8.8,15.0,29.7,236
E02000291,Enfield 015,54.8,14.03212172,3.8,15.9,21.3,541
E02000292,Enfield 016,47.1,15.89928058,3.7,13.9,22.0,458
E02000293,Enfield 017,41.2,16.40826873,1.3,14.2,15.8,565
E02000294,Enfield 018,56.3,25.25814138,7.5,16.0,27.8,256
E02000295,Enfield 019,41.6,14.06945681,3.2,15.2,17.0,600
E02000296,Enfield 020,51.5,14.19529837,4.7,16.0,19.0,618
E02000297,Enfield 021,34.4,14.75256769,2.8,14.8,19.0,630
